1,1,605.00,69.08,61.33,61.83,0.48,-1,-1,-1
1,2,968.67,98.92,53.33,39.33,0.45,-1,-1,-1
1,3,900.00,78.50,70.67,34.33,0.44,-1,-1,-1
2,1,601.33,71.12,64.00,62.71,0.48,-1,-1,-1
2,2,968.00,100.25,54.67,39.00,0.38,-1,-1,-1
2,3,857.33,69.42,68.00,31.00,0.43,-1,-1,-1
3,1,595.00,70.25,67.33,73.17,0.48,-1,-1,-1
3,2,968.00,100.58,54.67,38.50,0.41,-1,-1,-1
3,4,929.33,72.83,48.00,32.67,0.43,-1,-1,-1
3,5,826.67,56.50,48.00,29.50,0.42,-1,-1,-1
4,2,967.33,99.67,54.67,39.00,0.41,-1,-1,-1
4,4,929.33,72.75,46.67,32.67,0.46,-1,-1,-1
4,6,583.67,79.08,73.33,81.50,0.46,-1,-1,-1
4,7,801.33,43.79,38.67,26.25,0.44,-1,-1,-1
5,2,967.33,101.17,54.67,37.50,0.41,-1,-1,-1
5,4,930.00,72.96,41.33,32.12,0.44,-1,-1,-1
5,6,598.33,80.96,58.67,43.54,0.36,-1,-1,-1
5,8,561.33,102.50,82.00,79.33,0.49,-1,-1,-1
6,2,968.00,98.50,53.33,39.67,0.44,-1,-1,-1
6,4,930.00,73.08,40.00,32.00,0.47,-1,-1,-1
6,9,516.67,130.67,100.67,94.00,0.46,-1,-1,-1
6,10,478.67,82.17,73.33,54.83,0.43,-1,-1,-1
7,2,966.00,99.33,56.00,38.83,0.43,-1,-1,-1
7,4,930.67,73.17,40.00,31.83,0.45,-1,-1,-1
7,11,434.67,175.33,138.67,118.00,0.48,-1,-1,-1
7,12,381.00,122.08,102.00,71.25,0.48,-1,-1,-1
7,13,603.33,104.25,107.33,68.42,0.47,-1,-1,-1
7,14,528.67,31.56,76.67,78.85,0.47,-1,-1,-1
7,15,617.33,66.00,50.00,43.50,0.41,-1,-1,-1
8,2,968.00,99.00,53.33,38.83,0.44,-1,-1,-1
8,4,930.67,73.17,40.00,31.83,0.46,-1,-1,-1
8,16,167.33,201.00,184.67,119.67,0.48,-1,-1,-1
8,17,235.67,277.67,236.67,196.67,0.48,-1,-1,-1
8,18,654.33,117.75,144.33,65.42,0.48,-1,-1,-1
8,19,470.00,48.29,100.00,100.21,0.48,-1,-1,-1
8,20,591.33,78.33,64.67,55.67,0.46,-1,-1,-1
9,2,967.33,100.00,54.67,38.83,0.42,-1,-1,-1
9,4,930.00,73.00,40.00,31.67,0.45,-1,-1,-1
9,21,357.33,78.71,150.00,136.96,0.47,-1,-1,-1
9,22,556.33,100.17,76.67,72.17,0.46,-1,-1,-1
9,23,760.00,125.08,160.00,62.92,0.45,-1,-1,-1
10,2,967.33,98.25,54.67,39.33,0.42,-1,-1,-1
10,4,930.67,73.08,40.00,31.67,0.45,-1,-1,-1
10,24,494.33,138.92,102.67,103.08,0.49,-1,-1,-1
10,25,73.42,137.08,302.25,248.25,0.48,-1,-1,-1
10,26,854.00,125.00,112.00,55.17,0.46,-1,-1,-1
10,27,504.33,78.08,68.00,51.00,0.42,-1,-1,-1
11,2,969.33,98.17,52.00,38.50,0.41,-1,-1,-1
11,4,931.33,72.79,41.33,31.38,0.35,-1,-1,-1
11,26,896.00,112.67,58.67,49.83,0.45,-1,-1,-1
11,28,342.67,224.33,175.33,152.00,0.47,-1,-1,-1
12,2,968.00,98.75,53.33,38.50,0.44,-1,-1,-1
12,4,930.67,72.83,40.00,31.17,0.39,-1,-1,-1
12,29,280.67,171.67,138.67,102.67,0.48,-1,-1,-1
