1,1,603.00,79.54,58.67,59.12,0.43,-1,-1,-1
2,1,592.00,90.92,66.00,60.00,0.46,-1,-1,-1
3,1,574.00,103.58,72.67,76.08,0.45,-1,-1,-1
4,1,534.00,126.67,92.67,102.33,0.47,-1,-1,-1
4,2,370.67,135.75,98.00,83.08,0.42,-1,-1,-1
5,3,458.33,171.33,129.33,127.00,0.47,-1,-1,-1
5,4,584.00,97.67,68.67,70.00,0.45,-1,-1,-1
5,5,261.50,181.17,132.83,103.33,0.45,-1,-1,-1
5,6,467.00,80.33,85.33,78.33,0.43,-1,-1,-1
6,6,429.33,92.83,96.00,85.00,0.47,-1,-1,-1
6,7,251.33,283.50,236.00,233.17,0.49,-1,-1,-1
6,8,30.33,267.50,215.67,166.50,0.48,-1,-1,-1
6,9,542.67,127.17,87.33,82.33,0.47,-1,-1,-1
6,10,546.00,66.58,64.00,43.67,0.43,-1,-1,-1
7,9,568.33,126.08,70.00,66.42,0.44,-1,-1,-1
7,10,525.67,78.04,67.33,49.96,0.46,-1,-1,-1
7,11,464.33,175.67,123.33,125.00,0.48,-1,-1,-1
7,12,369.33,112.00,117.33,99.33,0.48,-1,-1,-1
8,9,246.67,299.50,230.00,221.17,0.34,-1,-1,-1
8,11,497.33,173.67,99.33,97.00,0.47,-1,-1,-1
8,13,496.00,91.33,76.67,55.67,0.47,-1,-1,-1
8,14,282.83,134.00,154.83,125.00,0.47,-1,-1,-1
8,15,626.00,67.92,54.00,44.67,0.41,-1,-1,-1
9,15,607.33,78.50,61.33,55.00,0.43,-1,-1,-1
9,16,334.00,287.00,175.33,165.33,0.48,-1,-1,-1
9,17,456.00,107.50,89.33,67.67,0.47,-1,-1,-1
9,18,162.00,175.50,196.67,161.00,0.47,-1,-1,-1
10,15,578.33,96.50,78.00,70.17,0.43,-1,-1,-1
10,19,403.00,132.75,106.67,81.58,0.48,-1,-1,-1
10,20,1.00,253.17,217.83,242.83,0.48,-1,-1,-1
11,15,522.00,131.17,104.67,93.00,0.48,-1,-1,-1
11,21,317.50,168.17,139.83,101.00,0.47,-1,-1,-1
12,15,426.33,191.33,148.00,123.67,0.46,-1,-1,-1
12,22,176.33,226.33,196.00,132.67,0.47,-1,-1,-1
13,23,120.17,361.67,322.50,306.00,0.47,-1,-1,-1
